FIR_REG_NUM,CHARGESHEET_OR_NOT,CHARGESHEET_DT,FR_TYPE,COURT_DISPOSAL,DISPOSAL_DT
UP2024083600190,Y,2024-12-01,,Pending Trial,
UP2023117700041,Y,2023-07-31,,Pending Trial,
UP2024076800218,N,2025-01-02,B-Summary,,
UP2023016000228,Y,2023-12-21,,,
UP2025119800294,Y,2025-09-07,,Acquitted,2026-06-20
UP2024054200306,Y,2024-05-11,,,
UP2023127700190,N,2024-01-25,A-Summary,,
UP2023015600163,N,2023-12-04,A-Summary,,
UP2023110800111,Y,2023-10-28,,Acquitted,2025-04-14
UP2023141400064,Y,2023-05-02,,Pending Trial,
UP2024015900174,N,2025-02-08,B-Summary,,
UP2025119500039,N,2026-04-09,C-Summary,,
UP2025106100084,Y,2026-04-18,,,
UP2023082700165,N,2024-12-24,C-Summary,,
UP2025112800322,Y,2025-07-26,,,
UP2025125900224,N,2025-11-17,B-Summary,,
UP2024149100353,Y,2024-10-25,,Pending Trial,
UP2024129000067,N,2024-09-05,A-Summary,,
UP2025148800282,N,2025-11-25,A-Summary,,
UP2025028300072,N,2026-06-14,A-Summary,,
UP2024017700045,Y,2024-08-25,,Acquitted,2026-02-09
UP2025010100074,Y,2025-10-31,,,
UP2024115800061,Y,2024-07-22,,,
UP2025146000209,Y,2025-03-25,,,
UP2025031300153,Y,2025-10-15,,Acquitted,2026-06-30
UP2024108900152,N,2024-12-12,C-Summary,,
UP2024142100199,Y,2024-10-09,,Pending Trial,
UP2024068700246,N,2025-02-06,C-Summary,,
UP2024100100164,Y,2024-10-10,,Pending Trial,
UP2023023400038,N,2024-02-01,A-Summary,,
UP2025104300392,Y,2025-04-08,,,
UP2023081500180,N,2023-11-21,C-Summary,,
UP2023096500116,N,2024-02-10,A-Summary,,
UP2025142900050,Y,2025-10-29,,Pending Trial,
UP2024062700172,Y,2024-06-06,,Pending Trial,
UP2025109300316,N,2026-06-13,A-Summary,,
UP2023013900114,N,2023-12-29,C-Summary,,
UP2025058000167,Y,2025-10-25,,,
UP2024051500056,N,2025-06-16,C-Summary,,
UP2025141700062,Y,2025-08-14,,,
UP2024082500142,N,2024-10-26,C-Summary,,
UP2025066900053,N,2025-07-27,A-Summary,,
UP2025139800324,Y,2025-10-23,,,
UP2024099700157,Y,2024-10-04,,,
UP2025118200191,Y,2025-06-09,,Pending Trial,
UP2023104800225,N,2023-11-12,A-Summary,,
UP2023110800112,N,2024-01-01,C-Summary,,
UP2024060200155,Y,2024-05-21,,Pending Trial,
UP2024003900175,N,2025-04-06,C-Summary,,
UP2023096300100,Y,2023-07-05,,Acquitted,2024-10-21
UP2025134500105,N,2025-12-05,C-Summary,,
UP2023056400191,Y,2024-03-14,,,
UP2024109600266,Y,2024-12-07,,,
UP2023117000112,N,2024-03-13,C-Summary,,
UP2023147100152,Y,2024-02-09,,Pending Trial,
UP2025109200298,N,2026-03-11,B-Summary,,
UP2025132500392,N,2025-12-07,A-Summary,,
UP2023098900109,N,2024-08-26,A-Summary,,
UP2024089800093,Y,2024-07-02,,,
UP2023019900234,Y,2023-03-24,,,
UP2024069500325,N,2025-07-28,C-Summary,,
UP2025120600245,Y,2026-05-10,,Acquitted,2026-06-30
UP2024058400118,Y,2024-05-26,,Pending Trial,
UP2024085700184,N,2024-07-24,A-Summary,,
UP2024136500037,Y,2024-04-26,,Convicted,2024-12-01
UP2024016000280,Y,2024-06-21,,Convicted,2025-07-08
UP2023009100045,Y,2023-08-30,,Convicted,2024-01-08
UP2023070600072,Y,2023-08-30,,Pending Trial,
UP2024090900022,N,2024-10-07,A-Summary,,
UP2025077900063,N,2025-10-17,B-Summary,,
UP2024077000233,N,2025-03-01,B-Summary,,
UP2024046300107,Y,2024-09-04,,Convicted,2025-06-17
UP2025130000064,N,2025-05-14,A-Summary,,
UP2025085300241,Y,2025-07-12,,Pending Trial,
UP2023105100189,Y,2023-10-15,,Pending Trial,
UP2023131200039,Y,2023-08-29,,,
UP2023055900149,Y,2024-05-29,,,
UP2025068800284,N,2025-09-29,A-Summary,,
UP2023123100144,Y,2023-08-12,,,
UP2024127500242,N,2025-04-30,A-Summary,,
UP2023097100125,Y,2023-09-20,,Acquitted,2024-02-05
UP2024017500082,N,2024-10-09,A-Summary,,
UP2024008100027,N,2024-04-05,C-Summary,,
UP2023053000289,N,2024-03-29,C-Summary,,
UP2025127400256,Y,2026-01-23,,,
UP2024122000151,N,2025-10-09,C-Summary,,
UP2025094600180,Y,2025-11-17,,Pending Trial,
UP2023070200072,Y,2024-01-28,,,
UP2024063500043,N,2025-01-18,C-Summary,,
UP2023095500131,Y,2024-01-26,,,
UP2025022000136,Y,2025-08-21,,Pending Trial,
UP2023099400077,Y,2023-06-23,,,
UP2024148500354,Y,2024-10-01,,,
UP2023030600013,N,2024-07-19,A-Summary,,
UP2023034500104,N,2023-06-01,A-Summary,,
UP2024054200307,Y,2024-09-11,,,
UP2024010400094,Y,2024-05-18,,Pending Trial,
UP2024132900183,N,2025-01-11,C-Summary,,
UP2024080900039,N,2025-02-10,A-Summary,,
UP2023001900151,N,2023-11-20,B-Summary,,
UP2023079700019,Y,2023-10-15,,,
UP2024148900245,Y,2025-02-16,,,
UP2023146100097,N,2024-02-26,C-Summary,,
UP2024084100216,N,2024-05-30,C-Summary,,
UP2025050300252,N,2026-06-30,B-Summary,,
UP2023100100118,N,2023-11-04,A-Summary,,
UP2025149200420,N,2026-02-22,A-Summary,,
UP2025120200250,Y,2025-08-18,,Pending Trial,
UP2024016400269,N,2025-01-25,A-Summary,,
UP2024119400034,Y,2024-11-04,,Pending Trial,
UP2024087800035,Y,2024-06-23,,,
UP2024001900167,N,2025-09-25,C-Summary,,
UP2025059800339,N,2026-06-30,A-Summary,,
UP2024115200210,Y,2024-06-12,,Pending Trial,
UP2024036400162,Y,2025-02-13,,Convicted,2026-06-30
UP2025094300145,Y,2025-10-08,,Pending Trial,
UP2023080400077,Y,2023-06-17,,,
UP2024055800286,Y,2025-05-05,,Pending Trial,
UP2025091200125,N,2025-12-09,C-Summary,,
UP2025055400189,Y,2026-01-01,,Pending Trial,
UP2024119800283,N,2024-11-19,B-Summary,,
UP2025003000168,N,2026-03-06,B-Summary,,
UP2025051200333,Y,2025-12-23,,,
UP2023095300127,N,2023-11-24,B-Summary,,
UP2025073800270,N,2026-04-11,C-Summary,,
UP2024051300293,Y,2024-11-20,,Pending Trial,
UP2025034200034,N,2025-10-26,B-Summary,,
UP2025094600181,N,2026-06-30,A-Summary,,
UP2023076000156,Y,2023-07-06,,Pending Trial,
UP2023028900136,Y,2023-10-10,,Pending Trial,
UP2024148600259,Y,2024-06-27,,Pending Trial,
UP2025144100327,N,2026-01-20,C-Summary,,
UP2024064000046,N,2025-03-21,A-Summary,,
UP2024095500154,Y,2024-10-13,,Pending Trial,
UP2024044800179,N,2025-05-10,C-Summary,,
UP2025043100152,N,2025-07-23,B-Summary,,
UP2025142700067,Y,2026-04-09,,Pending Trial,
UP2025124400135,N,2025-12-03,B-Summary,,
UP2025025500126,Y,2026-01-15,,,
UP2025047100060,Y,2025-07-04,,,
UP2025112800323,Y,2025-11-30,,,
UP2025045800231,Y,2025-12-10,,Pending Trial,
UP2024037800153,Y,2024-12-11,,Convicted,2025-09-22
UP2025120800230,Y,2025-10-16,,Pending Trial,
UP2023079900093,Y,2023-09-29,,Convicted,2024-03-15
UP2025003600169,N,2026-02-01,A-Summary,,
UP2024047400184,Y,2024-04-06,,Pending Trial,
UP2023147500205,N,2024-06-18,B-Summary,,
UP2023001600090,Y,2023-07-01,,Convicted,2024-12-24
UP2023000700105,N,2024-12-23,B-Summary,,
UP2025105900058,Y,2025-08-02,,,
UP2024145900163,N,2025-04-27,C-Summary,,
UP2025005200313,N,2026-06-30,A-Summary,,
UP2024006100034,Y,2024-10-01,,Pending Trial,
UP2023054300264,Y,2023-12-20,,Pending Trial,
UP2024074700243,N,2025-02-20,C-Summary,,
UP2025104600343,Y,2025-06-21,,,
UP2024144200293,Y,2024-09-04,,Pending Trial,
UP2024120300198,N,2025-05-13,B-Summary,,
UP2024120800174,Y,2024-08-09,,,
UP2024076700285,N,2025-05-03,B-Summary,,
UP2023104700159,N,2023-10-13,A-Summary,,
UP2024122500268,N,2025-09-13,C-Summary,,
UP2023063700047,Y,2023-11-13,,Pending Trial,
UP2024104700210,Y,2025-01-09,,Acquitted,2025-07-22
UP2024047700114,N,2024-08-18,A-Summary,,
UP2025027400191,Y,2025-04-13,,Pending Trial,
UP2024110600306,Y,2024-09-29,,,
UP2025047400230,Y,2025-03-21,,,
UP2024068800177,N,2025-05-08,C-Summary,,
UP2025009700018,Y,2025-04-29,,Pending Trial,
UP2024127400216,Y,2024-05-22,,,
UP2024122000152,N,2024-07-03,A-Summary,,
UP2024003100208,Y,2024-07-11,,Pending Trial,
UP2024105300232,Y,2025-03-07,,Pending Trial,
UP2023128100123,Y,2024-03-05,,,
UP2025062900239,N,2026-04-20,B-Summary,,
UP2025103600083,Y,2025-07-05,,,
UP2023143800214,N,2023-09-07,A-Summary,,
UP2025001100193,Y,2025-07-01,,Pending Trial,
UP2024105000303,Y,2025-01-24,,,
UP2024061000080,Y,2025-02-23,,Acquitted,2026-06-30
UP2024000700146,N,2025-01-07,A-Summary,,
UP2025046400197,Y,2025-05-29,,Pending Trial,
UP2023122500183,N,2024-10-16,B-Summary,,
UP2024006400063,Y,2024-03-13,,,
UP2025022200180,N,2025-12-31,A-Summary,,
UP2023109900168,Y,2023-11-21,,,
UP2024050300202,N,2025-02-09,B-Summary,,
UP2025084000215,Y,2026-04-30,,,
UP2023055200213,Y,2023-10-16,,Pending Trial,
UP2023005600042,N,2024-08-30,B-Summary,,
UP2025033900034,Y,2025-07-09,,,
UP2025075000069,N,2026-06-09,B-Summary,,
UP2024025800157,Y,2025-02-14,,,
UP2023120700173,N,2023-06-04,A-Summary,,
UP2023110100164,Y,2023-11-28,,Pending Trial,
UP2023147200251,N,2024-03-24,A-Summary,,
UP2025129300089,Y,2025-06-15,,Pending Trial,
UP2025060500355,N,2026-03-30,B-Summary,,
UP2025121200348,N,2026-06-27,A-Summary,,
UP2023134500062,N,2024-03-22,A-Summary,,
UP2024010900110,Y,2024-05-02,,Pending Trial,
UP2024129700031,Y,2024-06-02,,Pending Trial,
UP2025140300275,Y,2026-02-01,,Pending Trial,
UP2024020000216,N,2025-07-23,C-Summary,,
UP2024010500106,N,2025-11-16,A-Summary,,
UP2024006800136,Y,2025-01-10,,,
UP2025016400289,N,2025-06-25,C-Summary,,
UP2023091400168,N,2023-08-14,B-Summary,,
UP2024088200045,Y,2024-12-09,,,
UP2023108300244,N,2024-04-28,A-Summary,,
UP2025069100283,N,2025-07-28,C-Summary,,
UP2023122800155,Y,2023-08-04,,Convicted,2024-08-06
UP2024084000214,N,2025-03-17,B-Summary,,
UP2025082600282,Y,2025-07-16,,Pending Trial,
UP2025050500259,Y,2025-06-24,,,
UP2025094700197,Y,2026-03-09,,Pending Trial,
UP2025132500393,N,2025-09-26,C-Summary,,
UP2024014200161,N,2025-04-08,C-Summary,,
UP2023140400220,Y,2023-10-01,,Pending Trial,
UP2024052100080,Y,2024-09-21,,Pending Trial,
UP2024003100209,N,2024-07-02,A-Summary,,
UP2025104600344,N,2025-06-23,C-Summary,,
UP2024003200221,Y,2025-02-09,,,
UP2025111100131,Y,2025-10-28,,,
UP2024141600077,Y,2024-06-18,,,
UP2024045700055,Y,2024-12-17,,Convicted,2026-06-24
UP2025083500250,Y,2026-03-21,,,
UP2024122900301,N,2025-04-01,B-Summary,,
UP2024057400234,N,2024-09-06,C-Summary,,
UP2024132700302,Y,2024-09-02,,,
UP2025037900147,N,2026-01-09,A-Summary,,
UP2025063200226,Y,2026-03-23,,Pending Trial,
UP2024118000182,N,2025-02-21,C-Summary,,
UP2025102600012,Y,2025-12-30,,Pending Trial,
UP2024041700032,Y,2024-08-12,,Pending Trial,
UP2024074500236,N,2025-03-20,B-Summary,,
UP2023127600094,N,2024-02-29,B-Summary,,
UP2025048100208,Y,2026-02-08,,,
UP2023115700060,N,2024-06-21,B-Summary,,
UP2024011000103,Y,2025-02-23,,Pending Trial,
UP2023019600212,N,2024-04-12,C-Summary,,
UP2025083900180,N,2025-09-17,A-Summary,,
UP2025001500238,N,2026-06-13,B-Summary,,
UP2024029600199,N,2025-04-01,A-Summary,,
UP2024060000190,Y,2024-10-30,,,
UP2024132800319,N,2024-10-04,B-Summary,,
UP2025032100042,Y,2025-06-25,,Acquitted,2026-04-04
UP2023057500234,N,2023-12-25,C-Summary,,
UP2024099400111,N,2025-05-27,C-Summary,,
UP2023054200269,Y,2023-06-15,,,
UP2025029400130,N,2026-02-26,C-Summary,,
UP2024052500416,N,2024-03-18,A-Summary,,
UP2025135300032,N,2026-06-30,B-Summary,,
UP2025108400258,Y,2025-07-21,,,
UP2023104900190,Y,2023-11-20,,,
UP2024002500203,N,2025-12-08,C-Summary,,
UP2024074100188,N,2025-01-03,B-Summary,,
UP2025123400229,N,2026-05-29,B-Summary,,
UP2024053100402,N,2025-02-27,A-Summary,,
UP2023118000148,N,2024-08-10,C-Summary,,
UP2025041000011,N,2026-06-30,A-Summary,,
UP2025074200294,N,2025-08-14,B-Summary,,
UP2023092700046,N,2024-11-28,A-Summary,,
UP2024049500150,Y,2024-05-05,,Pending Trial,
UP2025078600140,Y,2025-10-15,,,
UP2024005200229,N,2025-07-27,A-Summary,,
UP2025036700174,N,2026-06-26,B-Summary,,
UP2024059800293,Y,2024-10-05,,,
UP2023029000157,N,2023-04-21,B-Summary,,
UP2023138400042,Y,2023-10-20,,Pending Trial,
UP2023054800234,Y,2023-08-23,,,
UP2024148300255,N,2024-07-20,A-Summary,,
UP2023142100171,N,2024-04-03,C-Summary,,
UP2025040300046,Y,2025-06-13,,,
UP2025085300242,N,2025-08-10,B-Summary,,
UP2024121700271,N,2024-09-30,B-Summary,,
UP2023001900152,Y,2023-12-14,,,
UP2025019600311,N,2025-11-25,B-Summary,,
UP2025087700044,Y,2025-05-09,,,
UP2023062800104,N,2023-06-04,A-Summary,,
UP2023148700260,Y,2023-09-13,,Pending Trial,
UP2025149000356,N,2026-02-25,B-Summary,,
UP2024098000172,Y,2025-01-29,,Pending Trial,
UP2024005700062,N,2024-09-12,A-Summary,,
UP2025141700063,Y,2025-12-04,,,
UP2025118100195,Y,2025-06-18,,,
UP2024070400054,Y,2024-06-27,,,
UP2024061800085,Y,2024-08-10,,,
UP2025104900322,Y,2026-03-11,,Pending Trial,
UP2023016400190,Y,2023-07-13,,,
UP2025105300257,N,2025-10-19,C-Summary,,
UP2023068900151,Y,2023-05-23,,Pending Trial,
UP2024122200191,Y,2025-05-12,,Pending Trial,
UP2025112800324,Y,2025-08-13,,,
UP2024001600135,N,2025-05-18,A-Summary,,
UP2024060500258,N,2025-01-28,B-Summary,,
UP2024085700185,N,2024-09-24,C-Summary,,
UP2023035600035,Y,2023-04-06,,Pending Trial,
UP2025015800245,Y,2025-07-21,,Acquitted,2026-05-28
UP2024112300216,N,2024-12-19,A-Summary,,
UP2023034500105,N,2024-04-19,C-Summary,,
UP2024104300330,N,2025-06-18,C-Summary,,
UP2025148200467,N,2026-02-20,C-Summary,,
UP2024003700167,N,2025-04-05,B-Summary,,
UP2023092900033,Y,2023-08-02,,Pending Trial,
UP2025050600275,N,2026-03-08,C-Summary,,
UP2024099400112,N,2025-05-10,A-Summary,,
UP2024133200198,Y,2024-11-16,,Pending Trial,
UP2023149000225,N,2024-03-31,B-Summary,,
UP2024029500123,N,2025-02-10,A-Summary,,
UP2025016000353,N,2026-06-02,A-Summary,,
UP2024048900155,Y,2025-01-07,,Pending Trial,
UP2023061500067,N,2023-10-22,C-Summary,,
UP2024108400218,Y,2025-03-28,,Pending Trial,
UP2024147900375,N,2024-08-18,A-Summary,,
UP2025049200160,N,2026-03-04,A-Summary,,
UP2024097800186,Y,2025-02-27,,,
UP2025110100234,Y,2026-01-30,,,
UP2025046900053,Y,2025-06-21,,Pending Trial,
UP2024052000044,Y,2024-05-31,,Pending Trial,
UP2024097100184,N,2024-10-15,C-Summary,,
UP2025063400202,Y,2025-12-18,,Pending Trial,
UP2025064200043,N,2026-03-04,A-Summary,,
UP2025128100190,N,2026-06-30,A-Summary,,
UP2023143700239,N,2023-10-17,B-Summary,,
UP2025061100077,Y,2026-01-25,,Pending Trial,
UP2023012200022,N,2024-06-19,C-Summary,,
UP2023014300118,N,2023-10-05,A-Summary,,
UP2024123300320,Y,2024-06-12,,,
UP2024050700268,N,2025-05-29,A-Summary,,
UP2023014100117,N,2024-03-23,B-Summary,,
UP2025104900323,N,2025-10-14,A-Summary,,
UP2025097100239,N,2026-06-30,A-Summary,,
UP2023045900134,Y,2023-09-20,,,
UP2024109000216,Y,2024-08-31,,Acquitted,2026-03-25
UP2025007600037,N,2025-12-05,A-Summary,,
UP2024019900240,N,2024-10-14,B-Summary,,
UP2025120400303,Y,2026-01-15,,Pending Trial,
UP2024090100177,Y,2024-10-18,,Acquitted,2025-10-28
UP2025055300186,Y,2025-08-07,,,
UP2025069100284,N,2025-10-03,B-Summary,,
UP2023046400153,N,2023-11-26,A-Summary,,
UP2023147600264,N,2024-03-25,A-Summary,,
UP2023055600184,N,2023-11-28,A-Summary,,
UP2025122800264,Y,2026-03-09,,Pending Trial,
UP2025001700179,N,2026-04-26,A-Summary,,
UP2024112700118,N,2024-11-11,A-Summary,,
UP2025084200250,N,2026-05-02,A-Summary,,
UP2023005400030,N,2024-07-22,A-Summary,,
UP2025105800070,N,2026-03-10,B-Summary,,
UP2023032900075,Y,2023-09-02,,,
UP2025068600254,Y,2026-03-25,,Pending Trial,
UP2023148300183,N,2023-09-29,A-Summary,,
UP2024045400029,N,2024-12-30,C-Summary,,
UP2025046400198,Y,2025-08-20,,,
UP2023109600200,N,2023-12-31,A-Summary,,
UP2023047400129,Y,2023-03-18,,,
UP2023015500143,N,2024-11-16,B-Summary,,
UP2024053700257,Y,2024-11-09,,,
UP2025029500167,N,2026-06-30,C-Summary,,
UP2023002100112,Y,2024-03-16,,,
UP2024048900156,Y,2024-12-18,,Pending Trial,
UP2024003900176,Y,2024-10-07,,Convicted,2026-03-16
UP2024139900344,Y,2024-10-01,,Pending Trial,
UP2023068800163,N,2024-06-21,C-Summary,,
UP2024118400102,Y,2024-04-09,,,
UP2024103500072,Y,2024-09-11,,Pending Trial,
UP2025052900275,Y,2026-01-30,,Pending Trial,
UP2024108200176,Y,2025-05-10,,Pending Trial,
UP2025082500180,N,2026-03-07,A-Summary,,
UP2025090100186,Y,2025-05-17,,Pending Trial,
UP2024110500269,N,2024-12-21,C-Summary,,
UP2024045800185,N,2025-01-22,B-Summary,,
UP2025095800163,N,2025-09-20,A-Summary,,
UP2023148500284,Y,2023-08-29,,,
UP2024000500168,Y,2024-12-30,,,
UP2024017800048,Y,2024-10-11,,,
UP2023019800188,Y,2023-05-25,,Convicted,2024-10-29
UP2024148200379,N,2025-05-09,C-Summary,,
UP2024025600131,Y,2024-07-10,,Acquitted,2025-07-06
UP2024002900180,N,2025-05-04,B-Summary,,
UP2024000300174,N,2025-04-09,A-Summary,,
UP2025112200212,Y,2025-05-30,,Acquitted,2026-06-30
UP2023052500313,N,2024-02-24,A-Summary,,
UP2025107800184,N,2025-12-06,B-Summary,,
UP2024104700211,Y,2024-11-29,,Pending Trial,
UP2023115000150,Y,2024-03-04,,Pending Trial,
UP2024046200161,N,2024-11-06,A-Summary,,
UP2024084600179,N,2025-01-14,C-Summary,,
UP2024055800287,N,2025-01-03,A-Summary,,
UP2023114900196,Y,2024-03-12,,Pending Trial,
UP2025070300120,Y,2026-04-07,,,
UP2025114800304,N,2026-06-30,B-Summary,,
UP2025002800198,N,2025-07-27,B-Summary,,
UP2025122600225,Y,2026-01-01,,Acquitted,2026-06-30
UP2025068800285,Y,2025-04-27,,,
UP2023055300143,N,2024-09-15,A-Summary,,
UP2024049700052,Y,2024-07-29,,,
UP2024001600136,N,2025-07-12,C-Summary,,
UP2024050700269,Y,2024-04-26,,Acquitted,2024-12-10
UP2023134200063,N,2024-01-07,A-Summary,,
UP2023021400048,Y,2023-08-02,,Convicted,2024-01-18
UP2025104500194,Y,2025-06-06,,,
UP2025045400031,N,2025-12-24,B-Summary,,
UP2025011800037,Y,2025-09-22,,Pending Trial,
UP2023087900037,N,2023-12-23,A-Summary,,
UP2023100800034,Y,2023-04-22,,,
UP2025069500369,N,2025-08-28,A-Summary,,
UP2024085000149,N,2025-08-19,B-Summary,,
UP2024148700332,N,2024-08-05,B-Summary,,
UP2025146000210,Y,2025-08-15,,,
UP2025148300274,N,2025-06-30,A-Summary,,
UP2023028900137,N,2024-02-08,A-Summary,,
UP2024126000147,Y,2024-12-28,,Pending Trial,
UP2024132800320,Y,2024-05-02,,,
UP2023131300057,Y,2023-12-16,,Pending Trial,
UP2025112900272,Y,2025-05-11,,,
UP2023060800213,Y,2023-09-14,,,
UP2023076500093,Y,2023-10-06,,Pending Trial,
UP2025011700041,Y,2025-08-26,,Convicted,2026-04-22
UP2024052600320,Y,2024-12-15,,Pending Trial,
UP2023108600166,N,2024-09-30,B-Summary,,
UP2025107900281,Y,2026-01-27,,,
UP2024122700181,N,2025-04-11,C-Summary,,
UP2025094600182,Y,2025-12-09,,Pending Trial,
UP2025045000188,Y,2025-11-24,,Convicted,2026-06-30
UP2025125900225,Y,2025-10-02,,,
UP2024056300308,Y,2025-04-05,,Pending Trial,
UP2024004700227,Y,2024-12-11,,Pending Trial,
UP2024097700158,Y,2025-02-28,,,
UP2025055800312,N,2026-06-30,B-Summary,,
UP2024022100108,N,2025-02-28,B-Summary,,
UP2024049400186,Y,2024-06-22,,,
UP2025148200469,Y,2026-02-14,,,
UP2023139700216,Y,2023-08-19,,Acquitted,2024-05-20
UP2023079700020,N,2024-02-02,A-Summary,,
UP2024003500111,N,2025-06-01,A-Summary,,
UP2024080500156,N,2024-12-02,A-Summary,,
UP2023047500123,Y,2023-10-27,,Pending Trial,
UP2023031500117,Y,2023-05-03,,,
UP2025114800305,Y,2026-03-28,,Pending Trial,
UP2023006900104,Y,2024-01-18,,Pending Trial,
UP2023047300023,Y,2023-10-07,,Pending Trial,
UP2023128000262,N,2023-12-23,A-Summary,,
UP2024110300246,Y,2024-11-07,,Pending Trial,
UP2023030900033,N,2024-05-01,B-Summary,,
UP2023125600114,Y,2023-09-02,,Pending Trial,
UP2025148000467,Y,2025-07-13,,Pending Trial,
UP2024115100193,N,2025-06-19,A-Summary,,
UP2023114500135,Y,2023-11-08,,,
UP2025139800325,Y,2025-04-24,,Acquitted,2026-05-29
UP2025041000012,Y,2025-07-10,,,
UP2024097200148,Y,2024-08-17,,,
UP2025120200251,N,2026-06-21,A-Summary,,
UP2025060300284,N,2025-09-11,A-Summary,,
UP2025074500324,N,2026-06-30,C-Summary,,
UP2025108400259,Y,2025-12-27,,,
UP2023148500285,N,2024-04-23,A-Summary,,
UP2024003300183,Y,2025-01-17,,,
UP2024110000244,Y,2025-02-17,,Pending Trial,
UP2025031200237,Y,2025-12-14,,,
UP2024001100159,N,2025-07-27,B-Summary,,
UP2023004100169,Y,2023-12-16,,,
UP2024148900246,N,2025-01-23,C-Summary,,
UP2024129500050,Y,2024-03-21,,,
UP2025043500206,N,2026-06-30,A-Summary,,
UP2024129200047,Y,2024-07-10,,,
UP2024123000176,N,2025-09-26,A-Summary,,
UP2024056500264,N,2025-03-07,B-Summary,,
UP2025146200160,Y,2026-03-20,,Convicted,2026-06-30
UP2023049000111,N,2023-10-06,A-Summary,,
UP2025050100044,Y,2026-01-22,,Pending Trial,
UP2024005100292,N,2025-03-09,C-Summary,,
UP2025021700204,N,2025-09-26,A-Summary,,
UP2024001900168,Y,2025-02-16,,,
UP2023127500188,N,2024-03-23,A-Summary,,
UP2023060800214,N,2024-03-21,B-Summary,,
UP2024147300434,Y,2025-05-17,,,
UP2024125600146,Y,2024-10-24,,,
UP2023053600238,N,2024-06-03,B-Summary,,
UP2024096700150,N,2025-09-10,B-Summary,,
UP2023120100168,N,2023-12-03,C-Summary,,
UP2025012200040,N,2025-06-30,A-Summary,,
UP2023029200126,Y,2023-06-15,,Convicted,2024-08-05
UP2024027800038,Y,2024-09-12,,Pending Trial,
UP2025122900306,N,2025-11-02,C-Summary,,
UP2025148300275,N,2025-09-18,A-Summary,,
UP2023049400153,Y,2023-05-07,,,
UP2024149600281,N,2024-12-13,C-Summary,,
UP2024062400138,N,2025-11-24,A-Summary,,
UP2024148200380,N,2025-02-07,A-Summary,,
UP2024056400224,N,2024-08-05,C-Summary,,
UP2023053000290,Y,2024-02-29,,,
UP2023132400138,N,2024-06-03,A-Summary,,
UP2023035000099,Y,2024-03-23,,Acquitted,2025-10-06
UP2025126300033,Y,2025-08-11,,,
UP2025112800325,Y,2026-02-02,,Pending Trial,
UP2025083400202,N,2026-01-28,C-Summary,,
UP2023054900256,N,2023-11-22,C-Summary,,
UP2023094300091,N,2024-02-01,C-Summary,,
UP2024082800202,N,2025-08-27,B-Summary,,
UP2023083300100,N,2024-02-23,B-Summary,,
UP2023003800085,Y,2024-03-04,,Pending Trial,
UP2024004100215,N,2025-10-06,A-Summary,,
UP2025044800192,Y,2025-07-09,,Pending Trial,
UP2024046500176,Y,2024-11-03,,Pending Trial,
UP2023028400144,N,2024-03-02,A-Summary,,
UP2025142300167,Y,2025-08-21,,Pending Trial,
UP2025094500222,Y,2026-02-20,,,
UP2024028500181,Y,2024-10-02,,,
UP2023098200135,N,2023-08-22,C-Summary,,
UP2023144900044,Y,2023-07-01,,Convicted,2025-01-31
UP2023055200214,N,2023-12-07,A-Summary,,
UP2024050300203,N,2025-01-25,B-Summary,,
UP2023030800037,N,2024-01-12,A-Summary,,
UP2025015900224,Y,2025-04-13,,Convicted,2026-06-30
UP2024015300037,N,2025-03-16,B-Summary,,
UP2025127800186,N,2026-02-13,B-Summary,,
UP2025057300275,Y,2025-09-02,,Pending Trial,
UP2025113900067,N,2025-12-04,C-Summary,,
UP2025059400050,Y,2025-11-14,,,
UP2023109900169,N,2024-01-22,C-Summary,,
UP2025035000144,Y,2025-10-15,,Convicted,2026-06-30
UP2024140500199,N,2024-07-28,A-Summary,,
UP2024136700026,N,2025-06-13,B-Summary,,
UP2023076800183,N,2023-12-19,C-Summary,,
UP2024004100216,N,2025-02-08,A-Summary,,
UP2025148000468,N,2025-09-28,B-Summary,,
UP2023012600032,N,2024-07-18,B-Summary,,
UP2024053600317,N,2025-12-18,A-Summary,,
UP2023047100033,N,2023-10-03,A-Summary,,
UP2025011600027,N,2026-04-09,A-Summary,,
UP2025081500261,N,2025-10-25,A-Summary,,
UP2024140400272,Y,2025-03-03,,Pending Trial,
UP2023135100040,N,2023-09-02,A-Summary,,
UP2024145900164,N,2024-12-27,B-Summary,,
UP2023127600095,N,2024-09-09,B-Summary,,
UP2025021800111,N,2026-02-26,C-Summary,,
UP2025133000450,Y,2025-07-21,,,
UP2025091700209,N,2025-07-09,B-Summary,,
UP2023140600163,N,2023-12-21,A-Summary,,
UP2024079800140,Y,2024-12-11,,,
UP2024074800221,Y,2024-06-22,,Convicted,2024-11-25
UP2024147500242,Y,2024-07-26,,Pending Trial,
UP2024085300181,N,2024-08-01,A-Summary,,
UP2024044900149,Y,2024-12-12,,,
UP2024029300229,N,2024-09-27,B-Summary,,
UP2023110600211,N,2024-01-16,C-Summary,,
UP2024056500265,Y,2024-10-02,,Pending Trial,
UP2025019500321,Y,2025-08-24,,Pending Trial,
UP2024121200312,N,2025-04-11,B-Summary,,
UP2023099600096,N,2024-11-18,A-Summary,,
UP2024055300165,N,2025-08-28,A-Summary,,
UP2025014200190,Y,2025-04-14,,Pending Trial,
